[ファイル名] gateAnm.sad
[色タイプ] 256色
[総コマ数] 120コマ

コマ    幅      高さ   基準left  基準top
[   1]  105px,    54px,    52px,    24px
[   2]  105px,    54px,    52px,    24px
[   3]  105px,    54px,    52px,    24px
[   4]  105px,    54px,    52px,    24px
[   5]  105px,    54px,    52px,    24px
[   6]  105px,    54px,    52px,    24px
[   7]  105px,    54px,    52px,    24px
[   8]  105px,    54px,    52px,    24px
[   9]  105px,    54px,    52px,    24px
[  10]  105px,    54px,    52px,    24px
[  11]  105px,    54px,    52px,    24px
[  12]  105px,    54px,    52px,    24px
[  13]  131px,    66px,    65px,    30px
[  14]  131px,    66px,    65px,    30px
[  15]  131px,    66px,    65px,    30px
[  16]  131px,    66px,    65px,    30px
[  17]  131px,    66px,    65px,    30px
[  18]  131px,    66px,    65px,    30px
[  19]  131px,    66px,    65px,    30px
[  20]  131px,    66px,    65px,    30px
[  21]  131px,    66px,    65px,    30px
[  22]  131px,    66px,    65px,    30px
[  23]  131px,    66px,    65px,    30px
[  24]  131px,    66px,    65px,    30px
[  25]  131px,    66px,    65px,    30px
[  26]  131px,    66px,    65px,    30px
[  27]  131px,    66px,    65px,    30px
[  28]  131px,    66px,    65px,    30px
[  29]  131px,    66px,    65px,    30px
[  30]  131px,    66px,    65px,    30px
[  31]  131px,    66px,    65px,    30px
[  32]  131px,    66px,    65px,    30px
[  33]  131px,    66px,    65px,    30px
[  34]  131px,    66px,    65px,    30px
[  35]  131px,    66px,    65px,    30px
[  36]  131px,    66px,    65px,    30px
[  37]  131px,    66px,    65px,    30px
[  38]  131px,    66px,    65px,    30px
[  39]  131px,    66px,    65px,    30px
[  40]  131px,    66px,    65px,    30px
[  41]  131px,    66px,    65px,    30px
[  42]  131px,    66px,    65px,    30px
[  43]  131px,    66px,    65px,    30px
[  44]  131px,    66px,    65px,    30px
[  45]  131px,    66px,    65px,    30px
[  46]  131px,    66px,    65px,    30px
[  47]  131px,    66px,    65px,    30px
[  48]  131px,    66px,    65px,    30px
[  49]  131px,    66px,    65px,    30px
[  50]  131px,    66px,    65px,    30px
[  51]  131px,    66px,    65px,    30px
[  52]  131px,    66px,    65px,    30px
[  53]  131px,    66px,    65px,    30px
[  54]  131px,    66px,    65px,    30px
[  55]  131px,    66px,    65px,    30px
[  56]  131px,    66px,    65px,    30px
[  57]  131px,    66px,    65px,    30px
[  58]  131px,    66px,    65px,    30px
[  59]  131px,    66px,    65px,    30px
[  60]  131px,    66px,    65px,    30px
[  61]  131px,    66px,    65px,    30px
[  62]  131px,    66px,    65px,    30px
[  63]  131px,    66px,    65px,    30px
[  64]  131px,    66px,    65px,    30px
[  65]  131px,    66px,    65px,    30px
[  66]  131px,    66px,    65px,    30px
[  67]  131px,    66px,    65px,    30px
[  68]  131px,    66px,    65px,    30px
[  69]  131px,    66px,    65px,    30px
[  70]  131px,    66px,    65px,    30px
[  71]  131px,    66px,    65px,    30px
[  72]  131px,    66px,    65px,    30px
[  73]  131px,    66px,    65px,    30px
[  74]  131px,    66px,    65px,    30px
[  75]  131px,    66px,    65px,    30px
[  76]  131px,    66px,    65px,    30px
[  77]  131px,    66px,    65px,    30px
[  78]  131px,    66px,    65px,    30px
[  79]  131px,    66px,    65px,    30px
[  80]  131px,    66px,    65px,    30px
[  81]  131px,    66px,    65px,    30px
[  82]  131px,    66px,    65px,    30px
[  83]  131px,    66px,    65px,    30px
[  84]  131px,    66px,    65px,    30px
[  85]  131px,    66px,    65px,    30px
[  86]  131px,    66px,    65px,    30px
[  87]  131px,    66px,    65px,    30px
[  88]  131px,    66px,    65px,    30px
[  89]  131px,    66px,    65px,    30px
[  90]  131px,    66px,    65px,    30px
[  91]  131px,    66px,    65px,    30px
[  92]  131px,    66px,    65px,    30px
[  93]  131px,    66px,    65px,    30px
[  94]  131px,    66px,    65px,    30px
[  95]  131px,    66px,    65px,    30px
[  96]  131px,    66px,    65px,    30px
[  97]  131px,    66px,    65px,    30px
[  98]  131px,    66px,    65px,    30px
[  99]  131px,    66px,    65px,    30px
[ 100]  131px,    66px,    65px,    30px
[ 101]  131px,    66px,    65px,    30px
[ 102]  131px,    66px,    65px,    30px
[ 103]  131px,    66px,    65px,    30px
[ 104]  131px,    66px,    65px,    30px
[ 105]  131px,    66px,    65px,    30px
[ 106]  131px,    66px,    65px,    30px
[ 107]  131px,    66px,    65px,    30px
[ 108]  131px,    66px,    65px,    30px
[ 109]   92px,    45px,    44px,    20px
[ 110]   92px,    45px,    44px,    20px
[ 111]   92px,    45px,    44px,    20px
[ 112]   92px,    45px,    44px,    20px
[ 113]   92px,    45px,    44px,    20px
[ 114]   92px,    45px,    44px,    20px
[ 115]   92px,    45px,    44px,    20px
[ 116]   92px,    45px,    44px,    20px
[ 117]   92px,    45px,    44px,    20px
[ 118]   92px,    45px,    44px,    20px
[ 119]   92px,    45px,    44px,    20px
[ 120]   92px,    45px,    44px,    20px
